"user_id","age","gender","occupation","device_type","daily_phone_hours","social_media_hours","work_productivity_score","sleep_hours","stress_level","app_usage_count","caffeine_intake_cups","weekend_screen_time_hours"
U36818,21,Female,Business Owner,iOS,2.3,1.1,6,7.6,3,38,4,12.7
U4086,60,Male,Business Owner,Android,11.2,2.6,1,8.8,3,31,2,3.4
U4125,27,Other,Business Owner,Android,1.5,4.2,9,6.2,8,10,4,13.3
U20530,35,Female,Business Owner,Android,8.9,3.5,8,4.5,8,15,5,11.2
U27509,56,Female,Freelancer,Android,8.6,3.7,4,7.4,1,16,1,4.4
U6886,54,Female,Student,iOS,11.6,1.5,5,4.8,3,26,4,3.9
U48953,20,Male,Business Owner,iOS,10.7,6.4,6,4.7,9,55,4,2.0
U42975,46,Female,Professional,iOS,1.0,3.8,9,8.5,6,41,2,12.1
U44484,51,Other,Freelancer,Android,2.2,6.1,6,8.4,4,49,0,12.7
U519,53,Other,Student,iOS,4.9,3.4,9,7.7,10,19,4,9.0
U19327,30,Other,Professional,iOS,2.8,7.9,8,5.8,3,26,0,5.9
U6244,45,Male,Professional,iOS,11.1,7.7,3,5.3,5,52,1,7.7
U20511,43,Other,Business Owner,iOS,2.9,6.9,4,4.8,5,23,0,7.4
U18781,60,Other,Freelancer,Android,7.1,2.2,9,5.7,5,28,1,9.9
U32140,56,Other,Student,Android,3.9,5.3,8,5.0,8,40,5,4.7
U46463,60,Male,Professional,Android,4.2,6.2,4,8.2,2,46,1,4.7
U41764,29,Other,Business Owner,iOS,11.6,5.5,6,7.5,3,50,5,2.2
U25203,51,Other,Business Owner,iOS,6.7,4.4,10,8.0,5,38,1,3.5
U32587,26,Female,Professional,iOS,5.4,3.1,1,6.5,4,54,6,10.4
U21848,54,Male,Freelancer,iOS,8.2,1.7,10,7.2,9,23,0,2.4
U40445,55,Other,Freelancer,iOS,9.5,5.1,4,4.3,8,37,6,4.3
U15488,28,Male,Business Owner,Android,8.2,2.3,2,5.1,9,12,5,6.4
U20907,18,Female,Business Owner,iOS,10.7,4.2,10,4.9,7,45,5,9.1
U15234,55,Female,Freelancer,iOS,7.7,2.0,6,7.0,7,54,6,9.8
U23234,35,Female,Professional,iOS,4.5,6.7,6,7.7,3,38,0,10.7
U29551,50,Female,Business Owner,Android,5.0,1.3,5,4.5,6,6,5,4.2
U36165,60,Other,Business Owner,Android,3.5,2.4,8,5.6,2,21,1,5.8
U46647,40,Male,Business Owner,iOS,9.4,6.1,5,4.4,1,35,1,8.2
U17507,35,Other,Professional,iOS,5.7,7.8,2,8.6,7,47,2,2.5
U1708,21,Female,Professional,iOS,5.1,5.0,1,6.4,9,51,6,5.9
U22214,40,Female,Business Owner,iOS,6.9,1.7,2,6.4,10,34,5,10.8
U15264,26,Male,Freelancer,iOS,2.1,2.4,4,7.2,1,24,1,2.3
U45053,29,Male,Freelancer,iOS,5.9,7.7,4,4.4,9,37,4,9.4
U13821,38,Male,Freelancer,iOS,6.7,1.0,9,4.6,7,14,2,10.3
U45784,29,Male,Business Owner,iOS,3.0,6.3,5,7.8,8,50,6,8.9
U38664,26,Female,Business Owner,Android,6.0,7.4,1,7.6,8,59,1,12.7
U13784,42,Other,Freelancer,iOS,8.7,7.3,2,5.6,2,47,0,3.1
U22742,37,Female,Business Owner,Android,11.2,6.5,9,5.5,5,24,5,10.5
U27359,43,Other,Professional,Android,2.8,7.6,1,7.6,10,57,4,11.4
U17253,39,Female,Professional,iOS,11.8,4.8,2,8.9,4,19,2,6.3
U27317,51,Male,Business Owner,iOS,1.7,3.2,7,7.9,5,6,3,10.0
U16373,46,Female,Student,Android,10.8,2.8,8,7.2,6,43,2,2.1
U14794,42,Male,Professional,iOS,4.2,0.7,1,8.3,4,56,1,10.4
U12063,30,Male,Professional,iOS,2.1,0.8,9,7.5,3,24,1,11.7
U35967,22,Male,Business Owner,Android,2.2,5.2,1,6.2,1,51,0,6.0
U45946,47,Other,Business Owner,Android,8.8,5.1,4,6.0,6,60,5,11.7
U13962,28,Male,Student,iOS,4.8,6.2,9,8.3,3,15,2,3.7
U13515,45,Male,Professional,iOS,5.7,7.0,4,8.5,5,34,1,11.2
U44321,19,Female,Student,iOS,6.8,6.1,3,6.0,9,12,3,10.4
U43796,30,Other,Business Owner,Android,1.2,6.2,5,6.7,10,39,6,11.2
U46921,22,Male,Student,iOS,1.2,5.4,2,8.0,1,58,6,5.6
U9371,28,Other,Business Owner,iOS,9.1,3.6,5,5.6,4,47,3,5.1
U33307,35,Male,Business Owner,iOS,10.6,2.4,2,5.5,3,17,5,10.7
U44751,57,Female,Professional,Android,10.0,7.7,4,4.6,9,28,0,5.8
U6021,46,Female,Student,iOS,9.5,7.7,2,4.9,7,19,1,7.0
U4038,38,Female,Student,iOS,12.0,7.2,9,4.4,8,40,0,2.6
U29243,58,Male,Student,iOS,11.3,1.0,5,6.5,1,43,2,3.7
U21964,55,Other,Freelancer,iOS,7.6,6.0,9,6.7,10,23,6,5.3
U11630,44,Female,Business Owner,iOS,7.5,2.1,1,4.0,1,15,2,2.8
U43686,57,Male,Professional,Android,9.3,6.3,7,4.5,10,34,5,11.7
U26921,43,Male,Professional,iOS,9.5,1.5,9,8.6,5,15,0,6.2
U47503,48,Female,Professional,Android,5.3,2.8,5,8.9,10,14,5,7.2
U43094,26,Female,Professional,iOS,9.7,2.7,8,6.0,7,17,5,10.8
U23482,35,Female,Business Owner,Android,5.5,4.1,10,5.8,6,25,0,5.7
U38140,56,Male,Business Owner,Android,10.8,4.7,1,4.1,4,46,5,4.0
U42042,48,Female,Student,Android,10.4,0.7,4,8.7,2,52,6,6.6
U38127,21,Other,Professional,Android,3.6,7.6,3,7.9,3,52,2,11.6
U24266,28,Female,Freelancer,Android,1.1,3.9,3,5.6,2,23,6,12.7
U49481,34,Male,Freelancer,iOS,3.7,1.6,7,4.5,2,32,6,9.4
U5991,33,Female,Professional,iOS,4.8,0.9,1,8.7,10,7,4,5.7
U22165,30,Other,Freelancer,iOS,4.8,7.9,10,4.6,1,15,0,11.9
U10699,40,Other,Freelancer,Android,2.7,3.6,10,7.1,5,23,3,10.7
U35926,52,Male,Professional,Android,10.2,1.6,3,8.2,5,25,3,5.3
U1389,44,Female,Freelancer,iOS,4.5,1.8,7,4.5,2,42,1,7.8
U32791,43,Other,Professional,Android,8.6,4.8,9,5.2,10,60,3,5.1
U9507,46,Other,Freelancer,iOS,6.5,5.6,4,4.1,6,31,0,5.2
U465,39,Other,Freelancer,iOS,1.6,7.6,6,4.9,3,27,0,6.8
U14715,57,Female,Business Owner,Android,3.8,1.0,3,5.6,7,8,2,7.8
U31711,42,Male,Business Owner,iOS,3.9,7.9,3,5.2,8,27,1,4.8
U31880,51,Other,Student,iOS,9.4,4.7,10,4.3,10,15,2,3.4
U6490,29,Male,Student,iOS,12.0,4.8,3,8.6,2,35,6,5.2
U28244,24,Female,Freelancer,iOS,1.3,7.8,10,5.6,9,59,6,9.1
U1053,23,Female,Freelancer,iOS,5.2,0.5,7,6.7,1,6,6,10.5
U9190,26,Female,Professional,Android,6.0,5.3,2,7.7,6,13,3,5.7
U41826,57,Male,Freelancer,Android,5.7,4.7,1,7.1,5,30,2,6.0
U25273,58,Male,Professional,iOS,1.4,4.5,4,6.4,2,54,1,9.7
U13895,57,Female,Student,iOS,10.3,0.9,5,4.9,5,46,1,13.5
U43179,40,Male,Professional,Android,10.0,1.9,8,5.5,3,23,1,2.8
U4412,25,Other,Student,Android,9.1,2.3,8,5.3,8,15,5,3.7
U35960,40,Other,Freelancer,iOS,4.1,5.7,8,5.3,10,52,4,4.1
U11826,25,Female,Freelancer,Android,9.0,3.0,5,8.2,1,24,6,5.2
U27264,41,Male,Business Owner,Android,10.6,1.5,8,6.2,9,56,4,4.3
U29558,20,Male,Student,Android,2.2,6.8,1,4.7,7,13,0,12.4
U37955,24,Male,Student,Android,9.4,4.6,10,4.1,8,45,3,8.3
U43569,21,Female,Business Owner,Android,6.4,5.3,9,4.7,10,29,2,2.3
U8170,26,Female,Professional,iOS,7.3,1.6,8,6.2,4,40,5,3.9
U18676,45,Male,Student,iOS,3.7,3.2,1,5.0,5,58,4,11.8
U25404,24,Female,Professional,iOS,2.4,6.9,5,8.6,10,7,6,10.1
U48633,35,Female,Business Owner,iOS,10.9,4.9,7,5.1,2,42,4,5.7
U20706,43,Male,Freelancer,Android,8.9,3.7,6,6.5,4,6,4,10.0
U533,36,Other,Student,Android,11.8,5.9,10,6.0,3,41,6,2.2
U28043,25,Other,Professional,iOS,10.6,7.7,5,5.7,7,49,1,12.7
U43077,53,Other,Business Owner,iOS,1.0,2.0,6,8.9,1,44,5,11.0
U48147,22,Female,Business Owner,iOS,6.5,2.5,8,7.1,7,26,0,9.9
U8692,53,Male,Professional,iOS,2.2,2.9,3,7.4,2,58,6,8.9
U24881,25,Male,Business Owner,Android,3.4,7.2,3,8.9,4,19,1,8.6
U27157,26,Female,Professional,iOS,4.9,4.9,5,4.2,3,44,5,8.9
U10834,39,Female,Student,iOS,6.2,5.5,2,8.7,9,36,2,6.9
U21362,29,Female,Freelancer,Android,11.9,1.4,4,8.9,3,50,3,10.9
U32918,23,Other,Freelancer,iOS,6.7,7.2,6,7.6,3,47,0,5.7
U10992,27,Male,Professional,Android,8.3,3.8,9,7.5,7,15,1,3.2
U20669,54,Other,Professional,Android,4.3,3.1,10,8.2,5,44,2,9.3
U29371,48,Other,Business Owner,iOS,3.0,6.5,5,4.9,10,27,2,12.9
U13475,26,Male,Business Owner,iOS,10.1,4.0,6,6.4,4,46,1,3.1
U31396,54,Other,Freelancer,Android,11.3,3.6,10,8.6,7,52,2,2.6
U35863,55,Female,Freelancer,iOS,5.7,4.1,6,4.7,10,52,3,11.9
U44929,31,Female,Freelancer,iOS,6.2,2.3,1,4.1,1,59,0,13.4
U49068,50,Male,Freelancer,iOS,11.9,5.3,4,5.4,1,25,6,11.1
U16866,42,Female,Professional,iOS,3.2,4.5,4,8.5,9,51,1,9.4
U22790,56,Other,Professional,Android,2.9,3.2,7,8.2,1,36,2,5.5
U15893,29,Male,Business Owner,iOS,9.0,2.5,7,7.4,8,5,1,7.8
U12736,18,Female,Student,Android,8.7,5.9,3,4.9,6,44,6,8.7
U22726,30,Female,Freelancer,Android,10.3,2.0,2,8.7,9,49,2,12.7
U35246,50,Male,Student,Android,2.4,1.9,8,9.0,10,50,3,12.2
U8464,28,Female,Professional,Android,9.0,5.7,10,4.5,3,44,4,12.4
U2427,35,Female,Business Owner,iOS,7.1,5.5,10,5.4,7,19,2,5.3
U25870,27,Male,Freelancer,iOS,10.7,1.0,8,7.7,5,37,0,11.2
U17494,23,Male,Professional,iOS,2.8,5.5,8,8.4,1,6,3,7.9
U32933,34,Other,Freelancer,iOS,3.4,2.1,5,6.0,6,50,1,12.2
U34846,28,Female,Business Owner,iOS,8.4,0.8,8,6.1,6,38,0,6.2
U18341,42,Male,Student,iOS,4.4,5.8,7,5.8,8,5,0,9.7
U95,20,Female,Professional,iOS,3.7,4.3,10,4.1,8,15,2,10.6
U15933,43,Female,Freelancer,iOS,3.0,5.8,3,8.8,10,34,0,11.2
U31046,29,Male,Freelancer,Android,8.4,2.9,6,8.3,2,59,5,10.2
U44468,55,Female,Freelancer,Android,6.2,5.0,1,6.3,2,46,4,3.3
U39946,28,Male,Professional,iOS,7.6,4.6,2,7.5,4,27,4,9.2
U34149,53,Male,Freelancer,Android,6.7,2.5,7,5.8,6,5,3,11.8
U40809,24,Male,Professional,iOS,8.0,7.9,7,7.8,8,56,5,11.9
U28957,45,Other,Business Owner,Android,9.6,2.1,2,5.8,5,14,4,10.1
U39576,34,Male,Business Owner,Android,5.7,6.2,1,5.4,6,33,6,13.9
U41166,36,Male,Freelancer,iOS,11.3,4.7,8,4.7,6,48,3,2.8
U49008,41,Male,Student,iOS,8.5,3.6,1,5.9,4,54,5,11.7
U29804,53,Female,Student,iOS,5.3,6.1,3,8.5,5,47,4,4.8
U45688,36,Female,Freelancer,iOS,6.4,2.7,10,8.5,8,11,2,8.9
U29812,42,Other,Professional,iOS,7.7,2.9,4,4.9,9,9,0,3.9
U42083,20,Female,Freelancer,iOS,2.8,2.3,6,6.6,7,39,1,5.2
U46289,34,Female,Freelancer,Android,7.0,4.8,8,6.0,7,10,4,6.1
U5591,35,Other,Freelancer,Android,1.5,6.2,6,5.5,4,37,3,5.1
U3047,57,Other,Freelancer,Android,8.8,5.8,4,8.5,5,55,0,10.0
U27358,58,Other,Student,Android,4.9,3.8,9,4.6,9,37,5,8.8
U38016,48,Male,Business Owner,iOS,2.1,2.8,1,6.1,7,45,0,11.5
U25517,29,Other,Professional,iOS,4.8,1.9,9,8.6,5,30,4,2.8
U20405,27,Female,Business Owner,iOS,8.6,3.3,2,4.9,3,5,6,10.0
U19379,53,Other,Professional,Android,2.1,5.2,5,4.6,9,49,4,7.6
U23792,29,Female,Student,Android,4.5,6.7,2,5.6,10,53,3,4.1
U42027,57,Male,Student,iOS,8.1,2.7,3,8.1,6,60,2,11.3
U48045,34,Female,Business Owner,Android,1.3,3.2,2,4.5,7,39,4,7.2
U28357,53,Other,Student,Android,9.2,7.3,1,8.6,5,7,6,8.7
U15690,60,Other,Professional,Android,6.8,6.0,6,4.9,3,10,2,6.7
U39559,58,Other,Freelancer,Android,5.8,2.4,4,7.7,9,23,2,8.8
U21436,19,Male,Freelancer,iOS,5.8,4.3,10,6.3,10,57,4,11.4
U8683,45,Female,Student,Android,4.2,6.6,3,8.5,7,5,5,3.2
U5889,35,Other,Professional,iOS,11.7,4.4,7,5.7,6,22,1,4.2
U10118,31,Male,Freelancer,Android,5.0,4.5,1,4.1,4,48,3,3.6
U22405,18,Other,Freelancer,iOS,7.0,2.4,2,5.5,4,49,3,11.7
U23451,25,Female,Student,iOS,8.2,1.1,8,4.6,6,13,5,10.2
U37690,56,Female,Freelancer,iOS,5.7,1.5,4,5.6,4,5,2,4.8
U9254,24,Male,Professional,Android,7.2,4.6,1,5.8,7,20,0,6.3
U45636,47,Other,Professional,iOS,6.6,7.1,7,6.1,3,55,1,6.8
U19656,41,Other,Student,Android,9.2,3.5,4,4.7,8,9,6,12.5
U25733,37,Male,Professional,Android,6.7,6.1,10,8.8,2,32,1,9.7
U43060,23,Female,Student,Android,1.9,5.4,8,5.0,1,49,1,5.4
U9399,55,Male,Business Owner,Android,4.6,7.7,6,4.8,6,38,3,8.4
U16966,41,Other,Student,iOS,4.3,7.4,1,7.3,6,8,6,11.5
U9660,52,Male,Freelancer,Android,8.3,2.5,8,6.4,4,31,1,10.0
U35092,37,Male,Student,iOS,6.5,2.4,3,8.8,6,8,1,5.5
U32252,28,Other,Student,iOS,5.7,2.5,9,4.8,2,45,5,10.9
U463,30,Other,Freelancer,Android,8.4,5.8,9,5.1,7,55,4,7.8
U40708,48,Male,Student,iOS,2.8,6.8,10,5.6,9,43,0,10.7
U13707,49,Female,Business Owner,iOS,3.3,4.3,6,7.6,5,16,3,3.2
U47095,28,Female,Professional,Android,4.5,3.0,6,7.4,8,23,0,8.6
U37796,53,Female,Student,Android,8.3,6.8,5,7.7,2,41,2,8.0
U48338,60,Male,Professional,Android,3.3,6.8,7,4.9,2,16,2,10.7
U28325,32,Male,Freelancer,iOS,10.3,0.5,9,5.4,6,26,3,6.4
U33295,26,Female,Student,Android,9.8,3.1,5,6.5,1,37,3,6.3
U48607,29,Other,Business Owner,Android,2.2,0.8,6,8.0,1,39,0,7.6
U46627,50,Female,Business Owner,Android,2.2,0.7,10,5.5,6,41,0,5.1
U47562,18,Male,Freelancer,Android,1.4,1.5,1,5.1,6,40,0,10.7
U204,46,Male,Professional,iOS,1.8,4.5,6,8.5,6,5,4,11.9
U39607,34,Male,Business Owner,Android,8.9,2.6,1,7.1,1,55,3,7.2
U28528,54,Other,Student,iOS,8.1,7.7,1,6.7,1,26,4,4.9
U42164,32,Male,Professional,iOS,9.2,4.2,8,5.3,5,13,4,4.2
U2033,46,Female,Freelancer,Android,7.6,3.3,8,7.0,4,32,1,9.1
U43825,31,Female,Freelancer,Android,5.1,2.7,7,4.7,3,14,4,8.5
U1779,30,Female,Freelancer,iOS,2.6,7.2,4,7.1,5,46,6,7.4
U41504,50,Male,Business Owner,iOS,8.7,3.9,7,4.6,5,21,5,6.6
U1377,19,Other,Professional,Android,2.3,4.0,4,5.5,4,34,3,7.6
U10627,37,Male,Freelancer,iOS,4.6,0.7,8,5.3,1,14,6,13.9
U29138,44,Male,Freelancer,Android,12.0,7.3,4,6.3,1,16,3,13.9
U7170,23,Male,Student,iOS,2.8,3.2,4,7.1,5,45,1,13.6
U36563,38,Other,Professional,iOS,7.6,5.5,1,7.0,2,31,2,11.5
U42124,18,Female,Business Owner,iOS,8.4,5.8,1,4.2,7,34,2,5.8
U24607,31,Other,Professional,iOS,9.8,3.5,6,4.2,5,42,1,2.1
U27541,35,Other,Business Owner,Android,2.7,4.7,2,5.9,5,49,2,8.1
U3451,59,Other,Professional,Android,4.1,5.1,4,8.8,5,26,0,11.1
U23651,53,Female,Freelancer,iOS,9.3,3.6,9,7.7,2,51,4,9.0
U3744,60,Male,Freelancer,Android,12.0,1.5,5,5.6,6,45,1,5.6
U29207,20,Female,Professional,Android,4.4,3.7,7,6.8,2,56,2,3.9
U21609,33,Other,Student,iOS,7.0,4.2,8,8.9,1,50,5,7.9
U12171,20,Male,Freelancer,iOS,11.5,3.1,2,7.8,7,44,3,4.7
U27118,53,Other,Professional,iOS,7.5,1.4,5,6.9,6,59,2,4.6
U37143,21,Male,Freelancer,iOS,11.1,6.8,3,4.1,9,53,6,9.4
U15473,50,Male,Freelancer,iOS,11.2,6.6,9,6.7,4,11,1,13.1
U6429,19,Male,Professional,Android,1.5,3.9,5,4.8,10,54,1,8.6
U866,58,Other,Business Owner,iOS,4.6,4.7,7,6.9,3,26,5,5.0
U3623,39,Male,Freelancer,Android,4.9,5.2,3,4.3,3,35,6,4.3
U18548,57,Male,Business Owner,Android,2.2,3.7,1,5.4,1,48,1,8.2
U14647,41,Male,Professional,iOS,11.0,3.4,9,6.0,7,15,6,12.8
U31175,36,Female,Professional,Android,11.1,4.2,2,8.6,5,40,5,2.7
U21664,29,Male,Professional,iOS,8.8,6.6,5,8.6,8,57,3,10.2
U44349,47,Other,Business Owner,iOS,9.0,1.3,10,6.0,7,8,5,8.7
U7422,54,Other,Professional,Android,2.6,6.4,5,7.2,10,57,0,13.9
U47333,48,Female,Freelancer,iOS,11.9,7.3,3,4.5,2,50,4,13.4
U15718,45,Male,Professional,iOS,10.2,1.3,5,4.6,5,39,4,9.2
U7815,50,Other,Professional,iOS,5.3,0.5,9,6.2,3,48,4,11.8
U2821,49,Female,Student,iOS,9.2,3.9,6,5.2,7,20,5,4.6
U5157,41,Female,Professional,iOS,10.6,1.7,10,4.6,5,11,6,5.8
U726,37,Male,Freelancer,Android,1.2,7.4,7,7.9,6,38,6,5.0
U20857,41,Other,Professional,Android,7.7,3.2,9,5.6,1,41,1,10.5
U14237,53,Male,Business Owner,iOS,7.3,1.0,1,5.9,10,26,5,4.6
U2534,34,Female,Professional,Android,2.2,7.7,7,7.9,1,54,6,6.1
U18553,51,Female,Freelancer,iOS,4.8,5.3,5,7.6,4,53,3,6.9
U25296,39,Male,Business Owner,Android,11.2,6.8,9,6.5,6,8,3,3.5
U1412,43,Other,Professional,Android,5.8,0.6,2,4.7,5,23,5,11.4
U23395,45,Male,Student,iOS,11.3,2.9,3,4.4,10,57,5,7.6
U10576,20,Other,Business Owner,iOS,11.9,2.8,7,4.9,7,56,1,3.4
U21531,56,Other,Professional,iOS,2.7,5.7,10,5.1,1,53,5,3.8
U47512,37,Male,Professional,iOS,9.0,1.2,5,8.5,2,48,1,12.0
U41667,23,Male,Freelancer,Android,7.2,7.4,8,8.0,7,8,1,11.0
U49861,60,Other,Student,Android,3.2,0.6,5,5.4,2,39,6,11.6
U29014,18,Other,Student,Android,11.7,3.5,9,4.0,3,5,5,7.1
U31847,19,Female,Business Owner,iOS,8.5,6.5,3,5.1,2,58,0,10.2
U12972,52,Other,Professional,iOS,1.4,6.5,1,5.1,2,53,2,8.0
U2361,46,Male,Student,Android,5.7,3.3,9,5.1,3,21,3,11.2
U22080,18,Female,Freelancer,iOS,1.9,4.0,5,8.1,2,27,3,13.4
U32420,45,Male,Freelancer,iOS,10.9,6.1,1,8.9,1,40,6,4.9
U6587,55,Other,Business Owner,Android,8.1,1.2,8,4.7,1,17,2,13.4
U31774,60,Female,Professional,iOS,6.7,3.4,5,6.7,3,59,2,13.4
U5232,41,Other,Professional,Android,10.0,3.2,5,8.3,2,7,0,13.2
U22917,45,Female,Professional,iOS,6.1,2.3,8,7.8,5,15,5,5.7
U19910,22,Other,Freelancer,Android,8.5,4.9,6,7.9,8,34,3,4.6
U16166,47,Other,Professional,iOS,5.5,5.1,9,5.1,5,24,1,13.9
U20691,54,Female,Student,iOS,9.3,3.9,5,6.8,7,19,3,9.3
U46866,58,Male,Freelancer,Android,8.4,8.0,6,4.9,5,50,1,6.6
U25826,47,Male,Business Owner,Android,5.8,7.2,2,5.8,4,60,3,6.8
U29269,31,Male,Business Owner,Android,10.4,6.7,7,8.2,1,15,2,12.5
U45547,22,Male,Student,Android,11.6,4.5,9,4.7,4,38,0,13.9
U49830,36,Male,Student,iOS,6.8,2.3,1,7.7,3,35,1,12.2
U21520,34,Other,Student,Android,8.9,6.9,8,7.0,4,58,0,2.0
U20181,51,Female,Freelancer,iOS,8.8,1.2,7,5.4,2,14,0,8.6
U46563,43,Other,Professional,Android,11.3,0.6,6,7.1,1,30,3,10.3
U17574,60,Male,Freelancer,iOS,1.9,3.1,6,4.9,3,6,5,12.6
U21621,46,Other,Student,Android,2.1,3.9,2,8.2,8,50,3,6.7
U15545,24,Female,Professional,iOS,5.7,6.5,8,7.9,4,13,3,2.9
U38505,39,Other,Freelancer,iOS,4.0,3.4,3,6.4,5,53,5,2.9
U937,22,Other,Business Owner,Android,6.7,5.2,9,8.2,6,37,5,6.2
U32947,49,Female,Student,Android,10.3,2.2,8,8.3,9,12,4,12.7
U8295,30,Other,Professional,iOS,11.8,7.0,2,7.3,9,18,2,11.2
U46497,29,Male,Freelancer,Android,11.8,7.4,9,5.6,8,32,1,11.5
U10350,33,Female,Student,Android,11.2,2.8,1,5.4,2,8,4,12.5
U4953,52,Male,Student,iOS,7.8,4.5,9,7.1,2,55,6,7.7
U48871,51,Other,Student,Android,5.7,5.8,5,5.7,6,54,0,3.2
U26694,33,Male,Student,iOS,10.7,6.8,7,4.2,10,27,3,3.2
U44938,39,Female,Freelancer,iOS,10.0,3.8,8,5.5,7,39,0,9.6
U20309,35,Other,Freelancer,Android,2.7,3.5,8,5.1,3,38,1,9.1
U11868,39,Male,Freelancer,iOS,10.5,1.4,5,8.5,5,43,2,10.4
U36490,42,Female,Professional,iOS,1.1,2.4,7,8.8,7,9,2,13.1
U17226,49,Female,Business Owner,Android,8.7,7.6,2,4.9,3,6,5,5.4
U5731,59,Other,Professional,Android,7.9,7.8,8,5.0,8,14,1,8.8
U15045,31,Male,Freelancer,Android,6.7,0.9,2,8.8,9,50,6,2.3
U36580,42,Female,Freelancer,Android,10.9,4.3,10,5.2,8,31,5,11.5
U3657,29,Female,Student,Android,4.4,5.6,9,6.3,4,56,4,4.5
U19514,25,Male,Business Owner,Android,9.8,6.2,8,8.3,8,53,0,10.0
U25388,54,Other,Student,Android,4.1,2.6,5,4.9,1,25,3,7.5
U24664,18,Other,Business Owner,iOS,5.9,2.9,1,5.7,7,48,3,12.8
U38200,47,Female,Professional,Android,5.6,4.8,8,8.4,7,40,3,2.8
U29253,39,Female,Student,iOS,8.9,2.3,2,7.7,5,39,1,4.1
U17783,22,Other,Professional,iOS,9.0,3.6,10,4.1,8,26,1,12.6
U22008,42,Female,Student,iOS,8.9,3.0,10,4.1,10,37,4,9.0
U611,49,Female,Business Owner,Android,4.9,3.7,2,5.5,7,10,3,2.4
U2334,44,Male,Student,iOS,10.4,1.8,7,6.8,10,35,4,10.3
U10720,47,Other,Student,Android,4.8,2.6,4,7.5,7,12,3,10.1
U38185,22,Other,Student,Android,4.1,1.8,5,5.4,6,57,0,6.3
U16880,59,Other,Professional,Android,8.6,7.6,1,6.9,3,38,1,6.7
U29445,22,Other,Freelancer,Android,7.0,2.2,2,6.9,6,48,0,7.2
U19670,34,Female,Student,Android,4.6,2.4,3,5.4,5,50,4,10.2
U41775,35,Other,Freelancer,iOS,7.9,5.4,2,8.2,4,46,2,4.0
U28543,42,Female,Business Owner,iOS,10.7,7.9,8,5.1,5,13,0,6.4
U43844,40,Female,Professional,iOS,7.0,7.7,8,6.5,4,47,2,4.7
